GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog,WebhookDtoCatalogApplication,0,3,0,0,0,1,0,1,0,1
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,GoogleAssistantResponseDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,RichResponseDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,QueryResultDTO,0,129,0,0,0,36,0,22,0,22
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,FulfillmentMessagesDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,OutputContextsDTO,0,45,0,0,0,12,0,8,0,8
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,WebhookRequestDTO,0,57,0,0,0,15,0,10,0,10
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,DiagnosticInfoDTO,0,3,0,0,0,1,0,1,0,1
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,CardDTO,0,57,0,0,0,15,0,10,0,10
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,OriginalDetectIntentRequestDTO,0,3,0,0,0,1,0,1,0,1
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,ButtonDTO,0,33,0,0,0,8,0,6,0,6
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,PayloadDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,SimpleResonseDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,StatusDTO,0,33,0,0,0,8,0,6,0,6
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,GoogleDTO,0,33,0,0,0,8,0,6,0,6
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,FulfillmentMessagesWithCardDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,ParameterDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,TextDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,ItemDTO,0,21,0,0,0,5,0,4,0,4
WebhookDTOCatalog,com.ramosvji.WebhookDTOCatalog.dto.controller,IntentDTO,0,33,0,0,0,8,0,6,0,6
